Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2016-8632,CVE-2017-15265,CVE-2017-6350,CVE-2017-6350,#N/A,614,,,,,,
CVE-2016-8633,CVE-2017-15274,CVE-2017-6362,CVE-2017-6362,#N/A,615,,,,,,
CVE-2016-8645,CVE-2017-15299,CVE-2017-6458,CVE-2017-6458,#N/A,#N/A,,,,,,
CVE-2016-8650,CVE-2017-15365,CVE-2017-6462,CVE-2017-6462,#N/A,#N/A,,,,,,
CVE-2016-8654,CVE-2017-15412,CVE-2017-6463,CVE-2017-6463,381,#N/A,,,,,,
CVE-2016-8675,CVE-2017-15422,CVE-2017-6464,CVE-2017-6464,382,#N/A,,,,,,
CVE-2016-8675,CVE-2017-15537,CVE-2017-6508,CVE-2017-6508,#N/A,616,,,,,,
CVE-2016-8675,CVE-2017-15649,CVE-2017-6512,CVE-2017-6512,#N/A,617,,,,,,
CVE-2016-8675,CVE-2017-15670,CVE-2017-6594,CVE-2017-6594,383,618,,,,,,
CVE-2016-8676,CVE-2017-15804,CVE-2017-6850,CVE-2017-6850,384,619,,,,,,
CVE-2016-8676,CVE-2017-15868,CVE-2017-6852,CVE-2017-6852,#N/A,620,,,,,,
CVE-2016-8676,CVE-2017-15873,CVE-2017-6891,CVE-2017-6891,385,621,,,,,,
CVE-2016-8676,CVE-2017-16232,CVE-2017-6964,CVE-2017-6964,386,623,,,,,,
CVE-2016-8690,CVE-2017-16525,CVE-2017-6965,CVE-2017-6965,#N/A,624,,,,,,
CVE-2016-8691,CVE-2017-16526,CVE-2017-6966,CVE-2017-6966,#N/A,625,,,,,,
CVE-2016-8692,CVE-2017-16527,CVE-2017-6969,CVE-2017-6969,#N/A,626,,,,,,
CVE-2016-8693,CVE-2017-16528,CVE-2017-7206,CVE-2017-7206,#N/A,632,,,,,,
CVE-2016-8882,CVE-2017-16529,CVE-2017-7208,CVE-2017-7208,#N/A,633,,,,,,
CVE-2016-8883,CVE-2017-16530,CVE-2017-7209,CVE-2017-7209,#N/A,634,,,,,,
CVE-2016-8884,CVE-2017-16531,CVE-2017-7210,CVE-2017-7210,#N/A,635,,,,,,
CVE-2016-8885,CVE-2017-16532,CVE-2017-7223,CVE-2017-7223,#N/A,636,,,,,,
CVE-2016-8886,CVE-2017-16533,CVE-2017-7224,CVE-2017-7224,#N/A,637,,,,,,
CVE-2016-8887,CVE-2017-16534,CVE-2017-7225,CVE-2017-7225,#N/A,638,,,,,,
CVE-2016-9082,CVE-2017-16535,CVE-2017-7226,CVE-2017-7226,#N/A,639,,,,,,
CVE-2016-9082,CVE-2017-16536,CVE-2017-7227,CVE-2017-7227,#N/A,640,,,,,,
CVE-2016-9083,CVE-2017-16537,CVE-2017-7245,CVE-2017-7245,#N/A,641,,,,,,
CVE-2016-9084,CVE-2017-16538,CVE-2017-7246,CVE-2017-7246,#N/A,642,,,,,,
CVE-2016-9178,CVE-2017-16544,CVE-2017-7299,CVE-2017-7299,387,646,,,,,,
CVE-2016-9189,CVE-2017-16643,CVE-2017-7300,CVE-2017-7300,#N/A,647,,,,,,
CVE-2016-9189,CVE-2017-16644,CVE-2017-7301,CVE-2017-7301,#N/A,648,,,,,,
CVE-2016-9190,CVE-2017-16645,CVE-2017-7302,CVE-2017-7302,#N/A,649,,,,,,
CVE-2016-9190,CVE-2017-16646,CVE-2017-7375,CVE-2017-7375,#N/A,652,,,,,,
CVE-2016-9191,CVE-2017-16647,CVE-2017-7376,CVE-2017-7376,#N/A,653,,,,,,
CVE-2016-9273,CVE-2017-16649,CVE-2017-7407,CVE-2017-7407,#N/A,654,,,,,,
CVE-2016-9297,CVE-2017-16650,CVE-2017-7475,CVE-2017-7475,#N/A,656,,,,,,
CVE-2016-9317,CVE-2017-16911,CVE-2017-7484,CVE-2017-7484,#N/A,658,,,,,,
CVE-2016-9318,CVE-2017-16912,CVE-2017-7485,CVE-2017-7485,#N/A,659,,,,,,
CVE-2016-9387,CVE-2017-16913,CVE-2017-7486,CVE-2017-7486,#N/A,660,,,,,,
CVE-2016-9388,CVE-2017-16914,CVE-2017-7526,CVE-2017-7526,#N/A,664,,,,,,
CVE-2016-9389,CVE-2017-16932,CVE-2017-7546,CVE-2017-7546,390,667,,,,,,
CVE-2016-9390,CVE-2017-16939,CVE-2017-7547,CVE-2017-7547,#N/A,668,,,,,,
CVE-2016-9391,CVE-2017-16997,CVE-2017-7548,CVE-2017-7548,391,669,,,,,,
CVE-2016-9392,CVE-2017-17053,CVE-2017-7592,CVE-2017-7592,#N/A,670,,,,,,
CVE-2016-9393,CVE-2017-17095,CVE-2017-7593,CVE-2017-7593,392,671,,,,,,
CVE-2016-9394,CVE-2017-17448,CVE-2017-7594,CVE-2017-7594,#N/A,672,,,,,,
CVE-2016-9395,CVE-2017-17449,CVE-2017-7595,CVE-2017-7595,#N/A,673,,,,,,
CVE-2016-9396,CVE-2017-17450,CVE-2017-7596,CVE-2017-7596,#N/A,674,,,,,,
CVE-2016-9397,CVE-2017-17512,CVE-2017-7597,CVE-2017-7597,396,675,,,,,,
