Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2015-5180,CVE-2016-1841,CVE-2016-4331,CVE-2016-4331,85,#N/A,,,,,,
CVE-2015-5180,CVE-2016-1867,CVE-2016-4332,CVE-2016-4332,86,#N/A,,,,,,
CVE-2015-5180,CVE-2016-2089,CVE-2016-4333,CVE-2016-4333,90,#N/A,,,,,,
CVE-2015-5180,CVE-2016-2090,CVE-2016-4429,CVE-2016-4429,91,125,,,,,,
CVE-2015-5180,CVE-2016-2147,CVE-2016-4607,CVE-2016-4607,92,126,,,,,,
CVE-2015-5186,CVE-2016-2148,CVE-2016-4608,CVE-2016-4608,93,127,,,,,,
CVE-2015-5186,CVE-2016-2226,CVE-2016-4609,CVE-2016-4609,95,128,,,,,,
CVE-2015-5203,CVE-2016-2774,CVE-2016-4610,CVE-2016-4610,97,129,,,,,,
CVE-2015-5221,CVE-2016-2781,CVE-2016-4612,CVE-2016-4612,98,130,,,,,,
CVE-2015-5276,CVE-2016-3119,CVE-2016-4738,CVE-2016-4738,100,131,,,,,,
CVE-2015-5276,CVE-2016-3120,CVE-2016-5011,CVE-2016-5011,101,132,,,,,,
CVE-2015-5276,CVE-2016-3186,CVE-2016-5102,CVE-2016-5102,102,133,,,,,,
CVE-2015-5276,CVE-2016-3189,CVE-2016-5139,CVE-2016-5139,103,134,,,,,,
CVE-2015-5276,CVE-2016-3190,CVE-2016-5158,CVE-2016-5158,104,135,,,,,,
CVE-2015-5276,CVE-2016-3616,CVE-2016-5159,CVE-2016-5159,105,136,,,,,,
CVE-2015-5276,CVE-2016-3695,CVE-2016-5318,CVE-2016-5318,#N/A,137,,,,,,
CVE-2015-5276,CVE-2016-3706,CVE-2016-5319,CVE-2016-5319,106,138,,,,,,
CVE-2015-5276,CVE-2016-4429,CVE-2016-5407,CVE-2016-5407,111,140,,,,,,
CVE-2015-5276,CVE-2016-4607,CVE-2016-6153,CVE-2016-6153,112,#N/A,,,,,,
CVE-2015-5276,CVE-2016-4608,CVE-2016-6185,CVE-2016-6185,113,142,,,,,,
CVE-2015-5276,CVE-2016-4609,CVE-2016-6252,CVE-2016-6252,114,#N/A,,,,,,
CVE-2015-5276,CVE-2016-4610,CVE-2016-6323,CVE-2016-6323,115,145,,,,,,
CVE-2015-5276,CVE-2016-4612,CVE-2016-6866,CVE-2016-6866,116,148,,,,,,
CVE-2015-5380,CVE-2016-4738,CVE-2016-7032,CVE-2016-7032,117,149,,,,,,
