2018-11-21 07:00:04+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] image dequeued for analysis: admin : sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:00:04+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image: ['admin', 'docker.io/mcin/docker-fsl@sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb', 'docker.io/mcin/docker-fsl:latest']
2018-11-21 07:18:44+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image complete: docker.io/mcin/docker-fsl@sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:18:59+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] Loading image into policy engine: admin 095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:19:53+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] analysis complete: admin : sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb

anchore-cli image vuln mcin/docker-fsl all
Vulnerability ID        Package                                       Severity        Fix                        Vulnerability URL
RHSA-2018:2285          yum-plugin-ovl-1.1.31-34.el7                  High            0:1.1.31-46.el7_5          https://access.redhat.com/errata/RHSA-2018:2285
RHSA-2018:2285          yum-utils-1.1.31-34.el7                       High            0:1.1.31-46.el7_5          https://access.redhat.com/errata/RHSA-2018:2285
RHSA-2018:2570          bind-license-9.9.4-29.el7_2.3                 High            32:9.9.4-61.el7_5.1        https://access.redhat.com/errata/RHSA-2018:2570
RHSA-2016:2573          glibc-2.17-106.el7_2.6                        Low             0:2.17-157.el7             https://access.redhat.com/errata/RHSA-2016:2573
RHSA-2016:2573          glibc-common-2.17-106.el7_2.6                 Low             0:2.17-157.el7             https://access.redhat.com/errata/RHSA-2016:2573
RHSA-2016:2586          python-2.7.5-34.el7                           Low             0:2.7.5-48.el7             https://access.redhat.com/errata/RHSA-2016:2586
RHSA-2016:2586          python-libs-2.7.5-34.el7                      Low             0:2.7.5-48.el7             https://access.redhat.com/errata/RHSA-2016:2586
RHSA-2016:2591          krb5-libs-1.13.2-12.el7_2                     Low             0:1.14.1-26.el7            https://access.redhat.com/errata/RHSA-2016:2591
RHSA-2016:2605          libblkid-2.23.2-26.el7_2.2                    Low             0:2.23.2-33.el7            https://access.redhat.com/errata/RHSA-2016:2605
RHSA-2016:2605          libmount-2.23.2-26.el7_2.2                    Low             0:2.23.2-33.el7            https://access.redhat.com/errata/RHSA-2016:2605
RHSA-2016:2605          libuuid-2.23.2-26.el7_2.2                     Low             0:2.23.2-33.el7            https://access.redhat.com/errata/RHSA-2016:2605
RHSA-2016:2605          util-linux-2.23.2-26.el7_2.2                  Low             0:2.23.2-33.el7            https://access.redhat.com/errata/RHSA-2016:2605
RHSA-2018:0849          libgcc-4.8.5-4.el7                            Low             0:4.8.5-28.el7             https://access.redhat.com/errata/RHSA-2018:0849
RHSA-2018:0849          libstdc++-4.8.5-4.el7                         Low             0:4.8.5-28.el7             https://access.redhat.com/errata/RHSA-2018:0849
RHSA-2018:3032          binutils-2.23.52.0.1-55.el7                   Low             0:2.27-34.base.el7         https://access.redhat.com/errata/RHSA-2018:3032
RHSA-2018:3071          krb5-libs-1.13.2-12.el7_2                     Low             0:1.15.1-34.el7            https://access.redhat.com/errata/RHSA-2018:3071
RHSA-2018:3249          setup-2.8.71-6.el7                            Low             0:2.8.71-10.el7            https://access.redhat.com/errata/RHSA-2018:3249
RHSA-2016:1626          python-2.7.5-34.el7                           Medium          0:2.7.5-38.el7_2           https://access.redhat.com/errata/RHSA-2016:1626
RHSA-2016:1626          python-libs-2.7.5-34.el7                      Medium          0:2.7.5-38.el7_2           https://access.redhat.com/errata/RHSA-2016:1626
RHSA-2016:2575          curl-7.29.0-25.el7.centos                     Medium          0:7.29.0-35.el7            https://access.redhat.com/errata/RHSA-2016:2575
RHSA-2016:2575          libcurl-7.29.0-25.el7.centos                  Medium          0:7.29.0-35.el7            https://access.redhat.com/errata/RHSA-2016:2575
RHSA-2016:2610          systemd-219-19.el7_2.9                        Medium          0:219-30.el7_3.3           https://access.redhat.com/errata/RHSA-2016:2610
RHSA-2016:2610          systemd-libs-219-19.el7_2.9                   Medium          0:219-30.el7_3.3           https://access.redhat.com/errata/RHSA-2016:2610
RHSA-2016:2674          libgcrypt-1.5.3-12.el7_1.1                    Medium          0:1.5.3-13.el7_3.1         https://access.redhat.com/errata/RHSA-2016:2674
RHSA-2016:2779          nss-3.21.0-9.el7_2                            Medium          0:3.21.3-2.el7_3           https://access.redhat.com/errata/RHSA-2016:2779
RHSA-2016:2779          nss-sysinit-3.21.0-9.el7_2                    Medium          0:3.21.3-2.el7_3           https://access.redhat.com/errata/RHSA-2016:2779
RHSA-2016:2779          nss-tools-3.21.0-9.el7_2                      Medium          0:3.21.3-2.el7_3           https://access.redhat.com/errata/RHSA-2016:2779
RHSA-2016:2779          nss-util-3.21.0-2.2.el7_2                     Medium          0:3.21.3-1.1.el7_3         https://access.redhat.com/errata/RHSA-2016:2779
RHSA-2016:2824          expat-2.1.0-8.el7                             Medium          0:2.1.0-10.el7_3           https://access.redhat.com/errata/RHSA-2016:2824
RHSA-2016:2972          vim-minimal-7.4.160-1.el7                     Medium          2:7.4.160-1.el7_3.1        https://access.redhat.com/errata/RHSA-2016:2972
RHSA-2017:0276          bind-license-9.9.4-29.el7_2.3                 Medium          32:9.9.4-38.el7_3.2        https://access.redhat.com/errata/RHSA-2017:0276
RHSA-2017:0286          openssl-libs-1.0.1e-51.el7_2.5                Medium          1:1.0.1e-60.el7_3.1        https://access.redhat.com/errata/RHSA-2017:0286
RHSA-2017:0907          libblkid-2.23.2-26.el7_2.2                    Medium          0:2.23.2-33.el7_3.2        https://access.redhat.com/errata/RHSA-2017:0907
RHSA-2017:0907          libmount-2.23.2-26.el7_2.2                    Medium          0:2.23.2-33.el7_3.2        https://access.redhat.com/errata/RHSA-2017:0907
RHSA-2017:0907          libuuid-2.23.2-26.el7_2.2                     Medium          0:2.23.2-33.el7_3.2        https://access.redhat.com/errata/RHSA-2017:0907
RHSA-2017:0907          util-linux-2.23.2-26.el7_2.2                  Medium          0:2.23.2-33.el7_3.2        https://access.redhat.com/errata/RHSA-2017:0907
RHSA-2017:1852          openldap-2.4.40-9.el7_2                       Medium          0:2.4.44-5.el7             https://access.redhat.com/errata/RHSA-2017:1852
RHSA-2017:1860          libtasn1-3.8-2.el7                            Medium          0:4.10-1.el7               https://access.redhat.com/errata/RHSA-2017:1860
RHSA-2017:1868          python-2.7.5-34.el7                           Medium          0:2.7.5-58.el7             https://access.redhat.com/errata/RHSA-2017:1868
RHSA-2017:1868          python-libs-2.7.5-34.el7                      Medium          0:2.7.5-58.el7             https://access.redhat.com/errata/RHSA-2017:1868
RHSA-2017:1916          glibc-2.17-106.el7_2.6                        Medium          0:2.17-196.el7             https://access.redhat.com/errata/RHSA-2017:1916
RHSA-2017:1916          glibc-common-2.17-106.el7_2.6                 Medium          0:2.17-196.el7             https://access.redhat.com/errata/RHSA-2017:1916
RHSA-2017:1931          bash-4.2.46-19.el7                            Medium          0:4.2.46-28.el7            https://access.redhat.com/errata/RHSA-2017:1931
