Package, version,Depends
glib-networking-services,       2.40.0-1ubuntu0.1,      "libc6 (>= 2.2.5), libglib2.0-0 (>= 2.39.3), libproxy1 (>= 0.4.7), glib-networking-common (= 2.40.0-1ubuntu0.1)"
gnupg,  1.4.16-1ubuntu2.4,      "libbz2-1.0, libc6 (>= 2.15), libreadline6 (>= 6.0), libusb-0.1-4 (>= 2:0.1.12), zlib1g (>= 1:1.1.4), gpgv"
gpgv,   1.4.16-1ubuntu2.4,      "libbz2-1.0, libc6 (>= 2.14), zlib1g (>= 1:1.1.4)"
grep,   2.16-1, "dpkg (>= 1.15.4) | install-info"
gsettings-desktop-schemas,      3.10.1-0ubuntu1,        "dconf-gsettings-backend | gsettings-backend"
gstreamer1.0-plugins-base,      1.2.4-1~ubuntu2,        "libc6 (>= 2.14), libcdparanoia0 (>= 3.10.2+debian), libglib2.0-0 (>= 2.37.3), libgstreamer1.0-0 (>= 1.2.0), libogg0 (>= 1.0rc3), liborc-0.4-0 (>= 1:0.4.18), libtheora0 (>= 1.0), libvisual-0.4-0 (>= 0.4.0-4), libvorbis0a (>= 1.1.2), libvorbisenc2 (>= 1.1.2), libgstreamer-plugins-base1.0-0 (>= 1.2.4)"
gstreamer1.0-plugins-good,      1.2.4-1~ubuntu1,        "libaa1 (>= 1.4p5), libavc1394-0 (>= 0.5.3), libbz2-1.0, libc6 (>= 2.17), libcaca0 (>= 0.99.beta17-1), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.10.0), libdv4, libflac8 (>= 1.3.0), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgstreamer-plugins-base1.0-0 (>= 1.2.1), libgstreamer-plugins-good1.0-0 (= 1.2.4-1~ubuntu1), libgstreamer1.0-0 (>= 1.2.0), libiec61883-0 (>= 1.2.0), libjack-jackd2-0 (>= 1.9.5~dfsg-14) | libjack-0.116, libjpeg8 (>= 8c), liborc-0.4-0 (>= 1:0.4.18), libpng12-0 (>= 1.2.13-4), libraw1394-11, libshout3, libsoup2.4-1 (>= 2.38), libspeex1 (>= 1.2~beta3-1), libstdc++6 (>= 4.1.1), libtag1c2a (>= 1.5), libv4l-0 (>= 0.5.0), libvpx1 (>= 1.3.0), libwavpack1 (>= 4.40.0), libx11-6, libxdamage1 (>= 1:1.1), libxext6, libxfixes3, libxv1, zlib1g (>= 1:1.1.4), gstreamer1.0-plugins-base"
gstreamer1.0-x, 1.2.4-1~ubuntu2,        "libc6 (>= 2.14), libcairo2 (>= 1.2.4), libglib2.0-0 (>= 2.37.3), libgstreamer1.0-0 (>= 1.0.0), libpango-1.0-0 (>= 1.22.0), libpangocairo-1.0-0 (>= 1.16.0), libx11-6, libxext6, libxv1, libgstreamer-plugins-base1.0-0 (>= 1.2.4)"
gzip,   1.6-3ubuntu1,   "dpkg (>= 1.15.4) | install-info"
hicolor-icon-theme,     0.13-1, ""
hostname,       3.15ubuntu1,    ""
hunspell-en-us, 20070829-4ubuntu3,      "dictionaries-common (>= 0.10)"
ifupdown,       0.7.47.2ubuntu4.4,      "iproute2, libc6 (>= 2.14), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 4.1+Debian3), initscripts (>= 2.88dsf-25), adduser"
init-system-helpers,    1.14,   "perl"
initramfs-tools,        0.103ubuntu4.4, "initramfs-tools-bin (>= 0.103ubuntu4.4), initramfs-tools-bin (<< 0.103ubuntu4.4.1~), klibc-utils (>= 2.0-1~), busybox-initramfs (>= 1:1.13.3-1ubuntu5), cpio, module-init-tools, udev (>= 147~-5), findutils (>= 4.2.24), util-linux (>> 2.15~rc1)"
initramfs-tools-bin,    0.103ubuntu4.4, "libc6 (>= 2.4), libudev1 (>= 183)"
initscripts,    2.88dsf-41ubuntu6.3,    "libc6 (>= 2.4), mount (>= 2.11x-1), debianutils (>= 4), lsb-base (>= 3.2-14), sysvinit-utils (>= 2.86.ds1-64), sysv-rc | file-rc, coreutils (>= 5.93), passwd"
insserv,        1.14.0-5ubuntu2,        "libc6 (>= 2.14)"
iproute2,       3.12.0-2ubuntu1,        "libc6 (>= 2.14), libdb5.3"
iputils-ping,   3:20121221-4ubuntu1.1,  "libc6 (>= 2.14), libcap2 (>= 2.10), libgnutls-openssl27"
isc-dhcp-client,        4.2.4-7ubuntu12.7,      "libc6 (>= 2.15), debianutils (>= 2.8.2), isc-dhcp-common (= 4.2.4-7ubuntu12.7), iproute2"
isc-dhcp-common,        4.2.4-7ubuntu12.7,      "libc6 (>= 2.15), debianutils (>= 2.8.2)"
iso-codes,      3.52-1, ""
javascript-common,      11,     ""
kbd,    1.15.5-1ubuntu1,        "libc6 (>= 2.14), console-setup, lsb-base (>= 3.0-10), initramfs-tools"
keyboard-configuration, 1.70ubuntu8,    "debconf (>= 1.5.34), liblocale-gettext-perl"
klibc-utils,    2.0.3-0ubuntu1.14.04.1, "libklibc (= 2.0.3-0ubuntu1.14.04.1)"
kmod,   15-0ubuntu6,    "libc6 (>= 2.17), libkmod2, sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 3.0-6)"
krb5-locales,   1.12+dfsg-2ubuntu5.2,   ""
less,   458-2,  "libc6 (>= 2.14), libtinfo5, debianutils (>= 1.8)"
libaa1, 1.4p5-41,       "libc6 (>= 2.15), libgpm2 (>= 1.20.4), libncurses5 (>= 5.5-5~), libslang2 (>= 2.2.4), libtinfo5, libx11-6"
libacl1,        2.2.52-1,       "libattr1 (>= 1:2.4.46-8), libc6 (>= 2.14)"
libamd2.3.1,    1:4.2.1-3ubuntu1,       "libc6 (>= 2.2.5)"
libapt-inst1.5, 1.0.1ubuntu2.14,        "libapt-pkg4.12 (>= 0.8.16~exp9), libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.4.0)"
libapt-pkg4.12, 1.0.1ubuntu2.14,        "libbz2-1.0, libc6 (>= 2.15), libgcc1 (>= 1:4.1.1), liblzma5 (>= 5.1.1alpha+20120614), libstdc++6 (>= 4.6), zlib1g (>= 1:1.2.2.3)"
libarchive-extract-perl,        0.70-1, "perl (>= 5.13.6)"
libasan0,       4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), libc6 (>= 2.4), libgcc1 (>= 1:4.1.1)"
libasn1-8-heimdal,      1.6~git20131207+dfsg-1ubuntu1.1,        "libc6 (>= 2.14), libcomerr2 (>= 1.01), libroken18-heimdal (>= 1.4.0+git20110226)"
libasound2,     1.0.27.2-3ubuntu7,      "libc6 (>= 2.16), libasound2-data (>= 1.0.27.2-3ubuntu7)"
libasound2-data,        1.0.27.2-3ubuntu7,      ""
libaspell15,    0.60.7~20110707-1ubuntu1,       "libc6 (>= 2.14), libstdc++6 (>= 4.6)"
libatk1.0-0,    2.10.0-2ubuntu2,        "libc6 (>= 2.2.5), libglib2.0-0 (>= 2.37.3), libatk1.0-data (= 2.10.0-2ubuntu2)"
libatk1.0-data, 2.10.0-2ubuntu2,        ""
libatomic1,     4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), libc6 (>= 2.14)"
libattr1,       1:2.4.47-1ubuntu1,      "libc6 (>= 2.4)"
libaudio2,      1.9.4-1,        "libc6 (>= 2.15), libxau6, libxt6"
libaudit-common,        1:2.3.2-2ubuntu1,       ""
libaudit1,      1:2.3.2-2ubuntu1,       "libaudit-common (= 1:2.3.2-2ubuntu1), libc6 (>= 2.14)"
libavahi-client3,       0.6.31-4ubuntu1.1,      "libavahi-common3 (>= 0.6.22), libc6 (>= 2.4), libdbus-1-3 (>= 1.1.1)"
libavahi-common-data,   0.6.31-4ubuntu1.1,      ""
libavahi-common3,       0.6.31-4ubuntu1.1,      "libc6 (>= 2.14), libavahi-common-data"
libavc1394-0,   0.5.4-2,        "libc6 (>= 2.14), libraw1394-11"
libavcodec54,   6:9.18-0ubuntu0.14.04.1,        "libavutil52 (>= 6:9.1-1), libc6 (>= 2.14), libgsm1 (>= 1.0.13), libmp3lame0, libopenjpeg2, libopus0 (>= 1.0.3), libschroedinger-1.0-0 (>= 1.0.7), libspeex1 (>= 1.2~beta3-1), libtheora0 (>= 1.0), libva1 (>> 1.3.0~), libvorbis0a (>= 1.1.2), libvorbisenc2 (>= 1.1.2), libvpx1 (>= 1.0.0), libx264-142, libxvidcore4 (>= 1.2.2), zlib1g (>= 1:1.2.0)"
libavformat54,  6:9.18-0ubuntu0.14.04.1,        "libavcodec54 (>= 6:9.1-1) | libavcodec-extra-54 (>= 6:9.18), libavutil52 (>= 6:9.1-1), libbz2-1.0, libc6 (>= 2.14), libgnutls26 (>= 2.12.17-0), librtmp0 (>= 2.3), zlib1g (>= 1:1.1.4)"
libavutil52,    6:9.18-0ubuntu0.14.04.1,        "libc6 (>= 2.14)"
libblas3,       1.2.20110419-7, "libc6 (>= 2.4)"
libblkid1,      2.20.1-5.1ubuntu20.7,   "libc6 (>= 2.14), libuuid1 (>= 2.16)"
libbsd0,        0.6.0-2ubuntu1, "libc6 (>= 2.14)"
libbz2-1.0,     1.0.6-5,        "libc6 (>= 2.4)"
libc-bin,       2.19-0ubuntu6.9,        "libc6 (>> 2.19), libc6 (<< 2.20)"
libc-dev-bin,   2.19-0ubuntu6.9,        "libc6 (>> 2.19), libc6 (<< 2.20)"
libc6,  2.19-0ubuntu6.9,        "libgcc1"
libc6-dev,      2.19-0ubuntu6.9,        "libc6 (= 2.19-0ubuntu6.9), libc-dev-bin (= 2.19-0ubuntu6.9), linux-libc-dev"
libcaca0,       0.99.beta18-1ubuntu5,   "libc6 (>= 2.14), libncursesw5 (>= 5.6+20070908), libslang2 (>= 2.2.4), libstdc++6 (>= 4.1.1), libtinfo5, zlib1g (>= 1:1.1.4)"
libcairo-gobject2,      1.13.0~20140204-0ubuntu1.1,     "libc6 (>= 2.2.5), libcairo2 (>= 1.10.0), libglib2.0-0 (>= 2.14.0)"
libcairo2,      1.13.0~20140204-0ubuntu1.1,     "libc6 (>= 2.14), libfontconfig1 (>= 2.9.0), libfreetype6 (>= 2.3.5), libpixman-1-0 (>= 0.30.0), libpng12-0 (>= 1.2.13-4), libx11-6, libxcb-render0, libxcb-shm0, libxcb1 (>= 1.6), libxext6, libxrender1, zlib1g (>= 1:1.1.4)"
libcamd2.3.1,   1:4.2.1-3ubuntu1,       "libc6 (>= 2.2.5)"
libcap2,        1:2.24-0ubuntu2,        "libc6 (>= 2.8)"
libcap2-bin,    1:2.24-0ubuntu2,        "libc6 (>= 2.14), libcap2 (>= 2.10)"
libccolamd2.8.0,        1:4.2.1-3ubuntu1,       "libc6 (>= 2.2.5)"
libcdparanoia0, 3.10.2+debian-11,       "libc6 (>= 2.15)"
libcgmanager0,  0.24-0ubuntu7.5,        "libc6 (>= 2.2.5), libdbus-1-3 (>= 1.0.2), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0)"
libcholmod2.1.2,        1:4.2.1-3ubuntu1,       "libamd2.3.1, libblas3 | libblas.so.3, libc6 (>= 2.7), libcamd2.3.1, libccolamd2.8.0, libcolamd2.8.0, liblapack3 | liblapack.so.3"
libcloog-isl4,  0.18.2-1,       "libc6 (>= 2.14), libgmp10, libisl10 (>= 0.11)"
libcolamd2.8.0, 1:4.2.1-3ubuntu1,       "libc6 (>= 2.2.5)"
libcomerr2,     1.42.9-3ubuntu1.3,      "libc6 (>= 2.17)"
libcr0, 0.8.5-2.1,      "libc6 (>= 2.15)"
libcups2,       1.7.2-0ubuntu1.7,       "libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.14), libgnutls26 (>= 2.12.17-0), libgssapi-krb5-2 (>= 1.10+dfsg~), zlib1g (>= 1:1.2.0)"
libcurl3,       7.35.0-1ubuntu2.9,      "libc6 (>= 2.17), libgssapi-krb5-2 (>= 1.10+dfsg~), libidn11 (>= 1.13), libldap-2.4-2 (>= 2.4.7), librtmp0 (>= 2.3), libssl1.0.0 (>= 1.0.1), zlib1g (>= 1:1.1.4)"
libcurl3-gnutls,        7.35.0-1ubuntu2.9,      "libc6 (>= 2.17), libgcrypt11 (>= 1.5.1), libgnutls26 (>= 2.12.17-0), libgssapi-krb5-2 (>= 1.10+dfsg~), libidn11 (>= 1.13), libldap-2.4-2 (>= 2.4.7), librtmp0 (>= 2.3), zlib1g (>= 1:1.1.4)"
libdatrie1,     0.2.8-1,        "libc6 (>= 2.14)"
libdb5.3,       5.3.28-3ubuntu3,        "libc6 (>= 2.17)"
libdbus-1-3,    1.6.18-0ubuntu4.3,      "libc6 (>= 2.14)"
libdbus-glib-1-2,       0.100.2-1,      "libc6 (>= 2.14), libdbus-1-3 (>= 1.2.16), libglib2.0-0 (>= 2.31.8)"
libdconf1,      0.20.0-1,       "libc6 (>= 2.14), libglib2.0-0 (>= 2.39.1)"
libdebconfclient0,      0.187ubuntu1,   "libc6 (>= 2.4)"
libdevmapper1.02.1,     2:1.02.77-6ubuntu2,     "libc6 (>= 2.14), libselinux1 (>= 1.32), libudev1 (>= 183), dmsetup (>= 2:1.02.77-6ubuntu2)"
libdrm-intel1,  2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.17), libdrm2 (>= 2.4.38), libpciaccess0"
libdrm-nouveau2,        2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.14), libdrm2 (>= 2.4.38)"
libdrm-radeon1, 2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.3.4), libdrm2 (>= 2.4.38)"
libdrm2,        2.4.67-1ubuntu0.14.04.1,        "libc6 (>= 2.17)"
libdv4, 1.0.0-6,        "libc6 (>= 2.14)"
libelf1,        0.158-0ubuntu5.2,       "libc6 (>= 2.14)"
libenchant1c2a, 1.6.0-10ubuntu1,        "aspell-en | myspell-dictionary | aspell-dictionary | ispell-dictionary | hunspell-dictionary, libaspell15 (>= 0.60.7~20110707), libc6 (>= 2.7), libgcc1 (>= 1:4.1.1), libglib2.0-0 (>= 2.35.9), libhunspell-1.3-0, libstdc++6 (>= 4.1.1), zlib1g (>= 1:1.1.4)"
libestr0,       0.1.9-0ubuntu2, "libc6 (>= 2.14)"
libexpat1,      2.1.0-4ubuntu1.3,       "libc6 (>= 2.14)"
libexpat1-dev,  2.1.0-4ubuntu1.3,       "libexpat1 (= 2.1.0-4ubuntu1.3), libc6-dev | libc-dev"
libffi6,        3.1~rc1+r3.0.13-12ubuntu0.1,    "libc6 (>= 2.14)"
libflac8,       1.3.0-2ubuntu0.14.04.1, "libc6 (>= 2.14), libogg0 (>= 1.0rc3)"
libfontconfig1, 2.11.0-0ubuntu4.2,      "fontconfig-config (= 2.11.0-0ubuntu4.2), libc6 (>= 2.14), libexpat1 (>= 2.0.1), libfreetype6 (>= 2.2.1)"
libfontenc1,    1:1.1.2-1,      "libc6 (>= 2.14), zlib1g (>= 1:1.1.4)"
libfreetype6,   2.5.2-1ubuntu2.5,       "libc6 (>= 2.14), libpng12-0 (>= 1.2.13-4), zlib1g (>= 1:1.1.4)"
